"ippi-ihpi","indices","Unit","Date","Value"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M1","108.741743789864"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M2","97.3709545211299"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M3","116.814880748544"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M4","108.182840386226"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M5","113.348599796076"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M6","102.296112174316"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M7","86.3709312510614"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M8","80.274592305881"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M9","84.3304357653082"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M10","96.9696753262915"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M11","92.3512174644823"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2015M12","112.948016470821"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M1","105.096495155742"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M2","112.558980534104"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M3","139.72461828564"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M4","113.314790307453"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M5","122.560289728277"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M6","109.61819903641"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M7","95.2909112796599"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M8","108.339608896699"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M9","98.9106315251939"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M10","96.3116906635439"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M11","109.293835682694"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2016M12","124.789866318088"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M1","112.687706010435"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M2","108.68633040535"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M3","127.501538171268"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M4","119.577735188655"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M5","140.907218506557"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M6","107.211705450706"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M7","94.8693837081711"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M8","98.5198505381195"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M9","112.722462051507"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M10","106.929471030069"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M11","96.6639060464439"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2017M12","101.272067140715"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M1","103.898593968381"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M2","116.781464524253"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M3","130.43759843237"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M4","115.467489962371"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M5","127.608257745463"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M6","114.211493100729"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M7","89.8826040179287"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M8","89.6250383612876"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M9","86.8360686009332"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M10","88.0867214277995"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M11","90.7197344597211"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2018M12","121.203076252262"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M1","116.519532510244"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M2","110.186299166842"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M3","125.314222673524"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M4","118.998499759912"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M5","122.011359812755"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M6","117.411828778755"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M7","100.407225059022"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M8","102.101228146368"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M9","99.0583892516006"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M10","94.2856519800969"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M11","100.373038076561"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2019M12","116.455719663608"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M1","108.810232209901"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M2","111.915263484022"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M3","117.115477230661"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M4","102.336869978017"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M5","105.66447173585"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M6","113.360098537516"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M7","107.967223584978"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M8","111.149312992456"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M9","108.674317585538"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M10","110.756937165517"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M11","122.164579489585"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2020M12","129.017992037383"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M1","125.326089417318"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M2","117.831267730104"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M3","145.653934757017"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M4","137.912304456645"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M5","140.35541186729"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M6","146.237059076367"
"IHPI","ENSEMBLE HORS EGRENAGE DE COTON","Indice base 100, 2015","2021M7","131.452843781942"
